Device_Name,Vendor
360 Camera_IoTLifeCycle,360
Allure Speaker_Mon(uk),Harman Kardon
Amazon Echo Gen1_Mon(uk),Amazon
Amazon Echo Gen1_Mon(us),Amazon
Amazon Echo Gen1_Our,Amazon
Amazon Echo Gen1_Our2,Amazon
Amazon Echo Gen1_UNSW,Amazon
Amazon Echo Gen1_YT,Amazon
Amazon Echo Gen2_IoTLS,Amazon
Amazon Echo Gen2_Mon(uk),Amazon
Amazon Echo Gen2_Mon(us),Amazon
Amazon Echo Gen3_IoTLS,Amazon
Amazon Echo Gen3_Mon(uk),Amazon
Amazon Echo Gen3_Mon(us),Amazon
Amazon Echo Look_Our,Amazon
Amazon Echo Look_Our2,Amazon
Amazon Echodot3a_IoTLS,Amazon
Amazon Fire TV_IoTLS,Amazon
Amazon Fire TV_Mon(uk),Amazon
Amazon Fire TV_Mon(us),Amazon
Amazon Fire TV_YT,Amazon
Amazon T-echodot_IoTLS,Amazon
Amcrest Camera_IoTLS,Amcrest
Amcrest Camera_Mon(us),Amcrest
Amcrest Camera_Our2,Amcrest
Apple Home Pod_YT,Apple
Apple TV(4thGen)_YT,Apple
Apple TV_IoTLS,Apple
Apple TV_Mon(uk),Apple
Apple TV_Mon(us),Apple
Apple home Pod_IoTLS,Apple
Aqara Camera_IoTLifeCycle,Aqara
Aqara Light_IoTLifeCycle,Aqara
Aqara Plug_IoTLifeCycle,Aqara
Aria_IoT-Sentinel,Unknown
August Doorbell Camera_YT,August
Belkin Net Camera_YT,Belkin
Belkin WeMo Crock Pot_YT,Belkin
Belkin WeMo Motion Sensor_UNSW,Belkin
Belkin WeMo Motion Sensor_YT,Belkin
Belkin WeMo Switch_YT,Belkin
Belkin Wemo switch_UNSW,Belkin
Blink Camera_Mon(uk),Blink
Blink Camera_Mon(us),Blink
Blipcare Blood Pressure Meter_UNSW,Blipcare
Bose Sound Touch10_YT,Bose
Bosiwo Camera Wired_Mon(uk),Bosiwo
Bull Plug_IoTLifeCycle,Bull
Canary_YT,Canary
Chamberlain myq Garage Opener_YT,Chamberlain
Charger Camera_Mon(uk),Unknown
Chinese Web Camera_YT,Unknown
Cloud Camera_Mon(us),Unknown
Cubetoou Camera_IoTLifeCycle,Cubetoou
D-Link Camera_IoT-Sentinel,D-Link
D-Link Door Sensor_IoT-Sentinel,D-Link
D-Link Sensor_IoT-Sentinel,D-Link
D-Link Siren_IoT-Sentinel,D-Link
D-Link Switch_IoT-Sentinel,D-Link
D-Link Water Sensor_IoT-Sentinel,D-Link
Dalen Light_IoTLifeCycle,Dalen
Dlink Mov_IoTLS,D-Link
Dlink Mov_Mon(us),D-Link
Drop Camera_UNSW,Nest
Edimax Plug1101W_IoT-Sentinel,Edimax
Edimax Plug2101W_IoT-Sentinel,Edimax
Flux Bulb_Mon(us),Flux
Fos Camera_Our2,Foscam
Google Home Mini3_IoTLS,Google
Google Home Mini_Mon(uk),Google
Google Home Mini_Mon(us),Google
Google Home Mini_YT,Google
Google Home_Mon(uk),Google
Google Home_YT,Google
Gosound Plug_IoTLifeCycle,Gosound
Govee Sensor_IoTLifeCycle,Govee
Greatwall Camera_IoTLifeCycle,Greatwall
HP Printer_UNSW,HP
Haier Camera_IoTLifeCycle,Haier
Harmon Kardon Invoke_YT,Harman Kardon
Home Matic Plug_IoT-Sentinel,Homematic
HoneyWell Thermostat_Mon(uk),HoneyWell
Hongyar Plug_IoTLifeCycle,Hongyar
Honorxiaotun Camera_IoTLifeCycle,Honorxiaotun
Huawei Camera_IoTLifeCycle,Huawei
Huawei Sound_IoTLifeCycle,Huawei
Huaweizhengtai Plug_IoTLifeCycle,Huawei
Insteon Camera_UNSW,Insteon
Invoke_IoTLS,Harman Kardon
Invoke_Mon(us),Harman Kardon
JD Camera_IoTLifeCycle,JD
Konka Camera_IoTLifeCycle,Konka
LG Smart TV_IoTLS,LG
LG Smart TV_Mon(us),LG
LG Smart TV_Our,LG
LG Smart TV_Our2,LG
LIFX Bulb_YT,LiFX
Lecheng Camera_IoTLifeCycle,Lecheng
Lecheng Doorbell_IoTLifeCycle,Lecheng
Lefun Camera Wired_Mon(us),Lefun
Lenovo Camera_IoTLifeCycle,Lenovo
LiFX Bulb_UNSW,LiFX
Logitech Logi Circle_YT,Logitech
Luohe Spycamera_Mon(us),Luohe
Magic Home Strip_Mon(uk),Magic Home
Magic Home Strip_Mon(us),Magic Home
Meross Dooropener_IoTLS,Meross
Microseven Camera_Mon(us),Microseven
Microwave_IoTLS,Unknown
Microwave_Mon(us),Unknown
Midea Light_IoTLifeCycle,Midea
Midea Speaker_IoTLifeCycle,Midea
Mijia Humidifier_IoTLifeCycle,Mijia
Mijia Plug_IoTLifeCycle,Mijia
Mijia Plugtwo_IoTLifeCycle,Mijia
Mingdou Plug_IoTLifeCycle,Mingdou
Nest CamIQ_YT,Nest
Nest Camera_Our,Nest
Nest Camera_Our2,Nest
Nest Camera_YT,Nest
Nest Dropcam_UNSW,Nest
Nest Guard_YT,Nest
Nest Protect smoke alarm_UNSW,Nest
Nest Protect smoke alarm_YT,Nest
Nest Tstat_IoTLS,Nest
Nest Tstat_Mon(uk),Nest
Nest Tstat_Mon(us),Nest
Netatmo Weather Station_Mon(uk),Netatmo
Netatmo Weather Station_UNSW,Netatmo
Netatmo Welcome_UNSW,Netatmo
NetgearArlo Camera_YT,Arlo
PIX-STAR Photo-frame_UNSW,PIX-STAR
Philips Light_IoTLifeCycle,Philips
Piper NV_YT,Piper
Pisen Camera_IoTLifeCycle,Pisen
Qiaoan Camera_IoTLifeCycle,Jooan
Ring Doorbell_Mon(uk),Ring
Ring Doorbell_Mon(us),Ring
Ring Doorbell_Our,Ring
Ring Doorbell_Our2,Ring
Ring Doorbell_YT,Ring
Roku TV_IoTLS,Roku
Roku TV_Mon(uk),Roku
Roku TV_Mon(us),Roku
Roku TV_YT,Roku
Roku4_YT,Roku
Roomba_YT,Roomba
Samsung Dryer_IoTLS,Samsung
Samsung Dryer_Mon(us),Samsung
Samsung Fridge_IoTLS,Samsung
Samsung Smart TV_Mon(uk),Samsung
Samsung Smart TV_Mon(us),Samsung
Samsung Smart TV_YT,Samsung
Samsung SmartCam_UNSW,Samsung
Samsung Washer_Mon(us),Samsung
Sansung Fridge_Mon(us),Samsung
Shuixing Camera_IoTLifeCycle,Mercury
Smart Things_UNSW,Samsung
Smart WiFi Plug01_Our,Unknown
Smart WiFi Plug01_Our2,Unknown
Smarter Brewer_IoTLS,Smarter
Smarter Brewer_Mon(us),Smarter
Smarter Coffee_Mon(uk),Smarter
Smartlife Bulb_IoTLS,Unknown
Smartlife Remote_IoTLS,Unknown
Smartmi Humidifier_IoTLifeCycle,Smartmi
Sonoff Camera_IoTLifeCycle,Sonoff
Sonos_YT,Sonos
Sousvide_Mon(uk),Unknown
Sousvide_Mon(us),Unknown
T-wemo Plug_Mon(uk),Belkin
T-wemo Plug_Mon(us),Belkin
TP-Link Blub_IoTLS,TP-Link
TP-Link Bulb_Mon(uk),TP-Link
TP-Link Bulb_Mon(us),TP-Link
TP-Link Camera_IoTLifeCycle,TP-Link
TP-Link Day Night Cloud camera_UNSW,TP-Link
TP-Link Doorbell_IoTLifeCycle,TP-Link
TP-Link PlugHS100_IoT-Sentinel,TP-Link
TP-Link PlugHS110_IoT-Sentinel,TP-Link
TP-Link Plug_Mon(uk),TP-Link
TP-Link Plug_Mon(us),TP-Link
TP-Link Smart Plug_UNSW,TP-Link
TP-Link SmartWiFi LED Bulb_YT,TP-Link
TP-Link WiFi Plug_IoTLS,TP-Link
TP-Link WiFi Plug_YT,TP-Link
Tenda Camera_IoTLifeCycle,Tenda
Tianmao Speaker_IoTLifeCycle,Tianmao
Triby Speaker_UNSW,Invoxia
Tuya Plug_IoTLifeCycle,Tuya
Tuya Sensor_IoTLifeCycle,Tuya
Wansview Camera Wired_Mon(uk),Wansview
Wansview Camera Wired_Mon(us),Wansview
WeMo Insight Switch2_IoT-Sentinel,Belkin
WeMo Insight Switch_IoT-Sentinel,Belkin
WeMo Switch2_IoT-Sentinel,Belkin
WeMo Switch_IoT-Sentinel,Belkin
Wemo Plug_IoTLS,Belkin
Withings Aura smart sleep sensor_UNSW,Withings
Withings Home_YT,Withings
Withings Smart Baby Monitor_UNSW,Withings
Withings Smart scale_UNSW,Withings
Withings_IoT-Sentinel,Withings
Wiz Light_IoTLifeCycle,Wiz
Xiangrikui Plug_IoTLifeCycle,Xiangrikui
Xiaobai Camera_IoTLifeCycle,Xiaobai
Xiaobai Doorbell_IoTLifeCycle,Xiaobai
Xiaobai Y2camera_IoTLifeCycle,Xiaobai
Xiaodu Clock_IoTLifeCycle,Xiaodu
Xiaodu Plug_IoTLifeCycle,Xiaodu
Xiaodu Sensor_IoTLifeCycle,Xiaodu
Xiaojingyu Clock_IoTLifeCycle,Xiaojingyu
Xiaomao Camera_IoTLifeCycle,Xiaomao
Xiaomi Camera3_IoTLifeCycle,Xiaomi
Xiaomi Camera_IoTLifeCycle,Xiaomi
Xiaomi Camera_Mon(uk),Xiaomi
Xiaomi Cleaner_Mon(uk),Xiaomi
Xiaomi Cleaner_Mon(us),Xiaomi
Xiaomi Ricecooker_Mon(us),Xiaomi
Xiaomi Sound_IoTLifeCycle,Xiaomi
