Cluster_ID,Num_Vendors,Num_Devices,Num_Components,Superset_Count,Vendors,Devices,Device_Types
D3_C0051,6,9,1,1,aqara|luohe|sonoff|xiaobai|xiaomao|xiaomi,Aqara Camera_selfdata|Aqara Plug_selfdata|Luohe Spycamera_Mon(us)|Sonoff Camera_selfdata|Xiaobai Y2camera_selfdata|Xiaomao Camera_selfdata|Xiaomi Camera3_selfdata|Xiaomi Camera_selfdata|xiaomitv_speaker,Camera|Plug|Speaker
D3_C0079,5,7,2,2,aqara|qianniao|xiaobai|xiaomao|xiaomi,Aqara Camera_selfdata|Aqara Plug_selfdata|Xiaobai Y2camera_selfdata|Xiaomao Camera_selfdata|Xiaomi Camera_selfdata|qianniao_camera|xiaomitv_speaker,Camera|Plug|Speaker
D3_C0015,3,5,1,1,huawei|xiaojingyu|xiaomi,Xiaojingyu Clock_selfdata|Xiaomi Sound_selfdata|Xiaomi Speaker_selfdata|huawei_tv|xiaomitv_speaker,Clock|Speaker|TV
D3_C0023,4,4,1,1,bose|roku|samsung|sonos,Bose Sound Touch10_YT|Roku4_YT|Samsung Smart TV_YT|Sonos_YT,Speaker|TV
D3_C0029,3,4,1,1,canary|nest|samsung,Canary_YT|Nest CamIQ_YT|Nest Guard_YT|Samsung Smart TV_YT,Camera|SecureSystem|TV
D3_C0033,2,4,1,1,amazon|samsung,Amazon Echo Gen2_IoTLS|Amazon Echo Gen3_IoTLS|Amazon Fire TV_IoTLS|Samsung Dryer_IoTLS,Dryer|Speaker|TV
D3_C0035,3,4,1,1,apple|roku|samsung,Apple Home Pod_YT|Apple TV(4thGen)_YT|Roku TV_YT|Samsung Smart TV_YT,Speaker|TV
D3_C0041,3,4,1,1,google|roku|samsung,Google Home Mini_YT|Google Home_YT|Roku TV_YT|Samsung Smart TV_YT,Speaker|TV
D3_C0049,3,4,1,1,canary|google|nvidia,Canary_YT|Google Home Mini_YT|Google Home_YT|nVidia Shield_YT,Camera|Speaker|TV
D3_C0066,3,4,1,4,aqara|xiaobai|xiaomi,Aqara Camera_selfdata|Xiaobai Y2camera_selfdata|Xiaomi Camera_selfdata|xiaomitv_speaker,Camera|Speaker
