Group_ID,Num_Vendors,Num_Devices,Vendors,Devices,Rule_I,Rule_II,Rule_III,Num_Components,Superset_Count,Rule_IV,Rule_IV_Verified_Ratio,Rule_IV_Verified_Count,Rule_IV_Verified_Pairs,Rule_IV_Anchor_Types,Retained,Corroboration_Tier
D3_C0051,6,9,aqara|luohe|sonoff|xiaobai|xiaomao|xiaomi,Aqara Camera_selfdata|Aqara Plug_selfdata|Luohe Spycamera_Mon(us)|Sonoff Camera_selfdata|Xiaobai Y2camera_selfdata|Xiaomao Camera_selfdata|Xiaomi Camera3_selfdata|Xiaomi Camera_selfdata|xiaomitv_speaker,False,False,False,1,0,True,0.889,8,Xiaomao Camera_selfdata|Xiaomi Camera_selfdata|dim2_verified;Xiaomao Camera_selfdata|Xiaomi Camera3_selfdata|dim2_verified;Xiaomao Camera_selfdata|xiaomitv_speaker|dim2_verified;Xiaomao Camera_selfdata|Xiaobai Y2camera_selfdata|dim2_verified;Aqara Camera_selfdata|Xiaomi Camera_selfdata|dim1_verified;Aqara Camera_selfdata|Aqara Plug_selfdata|same_vendor;Aqara Camera_selfdata|Xiaomi Camera3_selfdata|dim1_verified;Aqara Camera_selfdata|Sonoff Camera_selfdata|dim1_verified;Aqara Camera_selfdata|xiaomitv_speaker|dim1_verified;Aqara Camera_selfdata|Xiaobai Y2camera_selfdata|dim1_verified;Xiaomi Camera_selfdata|Aqara Plug_selfdata|dim1_verified;Xiaomi Camera_selfdata|Xiaomi Camera3_selfdata|same_vendor;Xiaomi Camera_selfdata|Sonoff Camera_selfdata|dim1_verified;Xiaomi Camera_selfdata|xiaomitv_speaker|same_vendor;Xiaomi Camera_selfdata|Xiaobai Y2camera_selfdata|dim1_verified;Aqara Plug_selfdata|Xiaomi Camera3_selfdata|dim1_verified;Aqara Plug_selfdata|Sonoff Camera_selfdata|dim1_verified;Aqara Plug_selfdata|xiaomitv_speaker|dim1_verified;Aqara Plug_selfdata|Xiaobai Y2camera_selfdata|dim1_verified;Xiaomi Camera3_selfdata|Sonoff Camera_selfdata|dim1_verified;Xiaomi Camera3_selfdata|xiaomitv_speaker|same_vendor;Xiaomi Camera3_selfdata|Xiaobai Y2camera_selfdata|dim1_verified;Sonoff Camera_selfdata|xiaomitv_speaker|dim1_verified;xiaomitv_speaker|Xiaobai Y2camera_selfdata|dim1_verified,dim1_verified|dim2_verified|same_vendor,True,2b
D3_C0079,5,7,aqara|qianniao|xiaobai|xiaomao|xiaomi,Aqara Camera_selfdata|Aqara Plug_selfdata|Xiaobai Y2camera_selfdata|Xiaomao Camera_selfdata|Xiaomi Camera_selfdata|qianniao_camera|xiaomitv_speaker,False,False,True,2,0,True,0.857,6,Xiaomao Camera_selfdata|Xiaomi Camera_selfdata|dim2_verified;Xiaomao Camera_selfdata|xiaomitv_speaker|dim2_verified;Xiaomao Camera_selfdata|Xiaobai Y2camera_selfdata|dim2_verified;Aqara Camera_selfdata|Xiaomi Camera_selfdata|dim1_verified;Aqara Camera_selfdata|Aqara Plug_selfdata|same_vendor;Aqara Camera_selfdata|xiaomitv_speaker|dim1_verified;Aqara Camera_selfdata|Xiaobai Y2camera_selfdata|dim1_verified;Xiaomi Camera_selfdata|Aqara Plug_selfdata|dim1_verified;Xiaomi Camera_selfdata|xiaomitv_speaker|same_vendor;Xiaomi Camera_selfdata|Xiaobai Y2camera_selfdata|dim1_verified;Aqara Plug_selfdata|xiaomitv_speaker|dim1_verified;Aqara Plug_selfdata|Xiaobai Y2camera_selfdata|dim1_verified;xiaomitv_speaker|Xiaobai Y2camera_selfdata|dim1_verified,dim1_verified|dim2_verified|same_vendor,True,2a
D3_C0015,3,5,huawei|xiaojingyu|xiaomi,Xiaojingyu Clock_selfdata|Xiaomi Sound_selfdata|Xiaomi Speaker_selfdata|huawei_tv|xiaomitv_speaker,False,False,False,1,0,True,0.8,4,Xiaomi Sound_selfdata|Xiaomi Speaker_selfdata|same_vendor;Xiaomi Sound_selfdata|xiaomitv_speaker|same_vendor;Xiaomi Sound_selfdata|Xiaojingyu Clock_selfdata|dim2_verified;Xiaomi Speaker_selfdata|xiaomitv_speaker|same_vendor;Xiaomi Speaker_selfdata|Xiaojingyu Clock_selfdata|dim2_verified,dim2_verified|same_vendor,True,2b
D3_C0023,4,4,bose|roku|samsung|sonos,Bose Sound Touch10_YT|Roku4_YT|Samsung Smart TV_YT|Sonos_YT,True,False,False,1,0,False,1.0,4,Bose Sound Touch10_YT|Sonos_YT|dim1_verified;Bose Sound Touch10_YT|Roku4_YT|dim1_verified;Bose Sound Touch10_YT|Samsung Smart TV_YT|dim1_verified;Sonos_YT|Roku4_YT|dim1_verified;Sonos_YT|Samsung Smart TV_YT|dim1_verified;Roku4_YT|Samsung Smart TV_YT|dim1_verified,dim1_verified,True,1
D3_C0029,3,4,canary|nest|samsung,Canary_YT|Nest CamIQ_YT|Nest Guard_YT|Samsung Smart TV_YT,True,False,False,1,0,False,1.0,4,Nest CamIQ_YT|Canary_YT|dim1_verified;Nest CamIQ_YT|Nest Guard_YT|same_vendor;Nest CamIQ_YT|Samsung Smart TV_YT|dim1_verified;Canary_YT|Nest Guard_YT|dim1_verified;Canary_YT|Samsung Smart TV_YT|dim1_verified;Nest Guard_YT|Samsung Smart TV_YT|dim1_verified,dim1_verified|same_vendor,True,1
D3_C0033,2,4,amazon|samsung,Amazon Echo Gen2_IoTLS|Amazon Echo Gen3_IoTLS|Amazon Fire TV_IoTLS|Samsung Dryer_IoTLS,True,True,False,1,0,False,1.0,4,Amazon Echo Gen2_IoTLS|Amazon Fire TV_IoTLS|same_vendor;Amazon Echo Gen2_IoTLS|Samsung Dryer_IoTLS|dim1_verified;Amazon Echo Gen2_IoTLS|Amazon Echo Gen3_IoTLS|same_vendor;Amazon Fire TV_IoTLS|Samsung Dryer_IoTLS|dim1_verified;Amazon Fire TV_IoTLS|Amazon Echo Gen3_IoTLS|same_vendor;Samsung Dryer_IoTLS|Amazon Echo Gen3_IoTLS|dim1_verified,dim1_verified|same_vendor,True,1
D3_C0035,3,4,apple|roku|samsung,Apple Home Pod_YT|Apple TV(4thGen)_YT|Roku TV_YT|Samsung Smart TV_YT,False,False,False,1,0,True,1.0,4,Apple TV(4thGen)_YT|Roku TV_YT|dim1_verified;Apple TV(4thGen)_YT|Apple Home Pod_YT|same_vendor;Apple TV(4thGen)_YT|Samsung Smart TV_YT|dim1_verified;Roku TV_YT|Apple Home Pod_YT|dim1_verified;Roku TV_YT|Samsung Smart TV_YT|dim1_verified;Apple Home Pod_YT|Samsung Smart TV_YT|dim1_verified,dim1_verified|same_vendor,True,2b
D3_C0041,3,4,google|roku|samsung,Google Home Mini_YT|Google Home_YT|Roku TV_YT|Samsung Smart TV_YT,True,False,False,1,0,False,1.0,4,Google Home_YT|Roku TV_YT|dim1_verified;Google Home_YT|Google Home Mini_YT|same_vendor;Google Home_YT|Samsung Smart TV_YT|dim1_verified;Roku TV_YT|Google Home Mini_YT|dim1_verified;Roku TV_YT|Samsung Smart TV_YT|dim1_verified;Google Home Mini_YT|Samsung Smart TV_YT|dim1_verified,dim1_verified|same_vendor,True,1
D3_C0049,3,4,canary|google|nvidia,Canary_YT|Google Home Mini_YT|Google Home_YT|nVidia Shield_YT,True,False,False,1,0,False,1.0,4,Google Home_YT|nVidia Shield_YT|dim1_verified;Google Home_YT|Canary_YT|dim1_verified;Google Home_YT|Google Home Mini_YT|same_vendor;nVidia Shield_YT|Canary_YT|dim1_verified;nVidia Shield_YT|Google Home Mini_YT|dim1_verified;Canary_YT|Google Home Mini_YT|dim1_verified,dim1_verified|same_vendor,True,1
D3_C0066,3,4,aqara|xiaobai|xiaomi,Aqara Camera_selfdata|Xiaobai Y2camera_selfdata|Xiaomi Camera_selfdata|xiaomitv_speaker,True,False,False,1,3,False,1.0,4,Xiaomi Camera_selfdata|Xiaobai Y2camera_selfdata|dim1_verified;Xiaomi Camera_selfdata|Aqara Camera_selfdata|dim1_verified;Xiaomi Camera_selfdata|xiaomitv_speaker|same_vendor;Xiaobai Y2camera_selfdata|Aqara Camera_selfdata|dim1_verified;Xiaobai Y2camera_selfdata|xiaomitv_speaker|dim1_verified;Aqara Camera_selfdata|xiaomitv_speaker|dim1_verified,dim1_verified|same_vendor,True,1
D3_C0019,2,3,google|nvidia,Google Home Mini_YT|Google Home_YT|nVidia Shield_YT,True,True,False,2,1,False,1.0,3,Google Home_YT|nVidia Shield_YT|dim1_verified;Google Home_YT|Google Home Mini_YT|same_vendor;nVidia Shield_YT|Google Home Mini_YT|dim1_verified,dim1_verified|same_vendor,True,1
D3_C0025,3,3,canary|roku|samsung,Canary_YT|Roku TV_YT|Samsung Smart TV_YT,True,False,False,1,0,False,1.0,3,Roku TV_YT|Canary_YT|dim1_verified;Roku TV_YT|Samsung Smart TV_YT|dim1_verified;Canary_YT|Samsung Smart TV_YT|dim1_verified,dim1_verified,True,1
D3_C0043,3,3,huawei|lecheng|xiaomi,Lecheng Camera_selfdata|Xiaomi Sound_selfdata|huawei_tv,False,False,False,1,0,True,0.667,2,Lecheng Camera_selfdata|huawei_tv|dim2_verified,dim2_verified,True,2b
D3_C0070,2,3,amazon|samsung,Amazon Echo Gen2_IoTLS|Amazon Echo Gen3_IoTLS|Samsung Dryer_IoTLS,True,True,False,3,1,False,1.0,3,Amazon Echo Gen2_IoTLS|Samsung Dryer_IoTLS|dim1_verified;Amazon Echo Gen2_IoTLS|Amazon Echo Gen3_IoTLS|same_vendor;Samsung Dryer_IoTLS|Amazon Echo Gen3_IoTLS|dim1_verified,dim1_verified|same_vendor,True,1
D3_C0031,2,2,amazon|samsung,Amazon Fire TV_YT|Samsung Smart TV_YT,True,True,False,1,0,False,1.0,2,Samsung Smart TV_YT|Amazon Fire TV_YT|dim1_verified,dim1_verified,True,1
D3_C0044,2,2,google|samsung,Google Home_YT|Samsung Smart TV_YT,True,True,False,1,1,False,1.0,2,Google Home_YT|Samsung Smart TV_YT|dim1_verified,dim1_verified,True,1
D3_C0046,2,2,lg|roku,LG Smart TV_Mon(us)|Roku TV_Mon(uk),True,True,False,1,0,False,1.0,2,Roku TV_Mon(uk)|LG Smart TV_Mon(us)|dim1_verified,dim1_verified,True,1
D3_C0048,2,2,amazon|samsung,Amazon Echo Gen2_IoTLS|Samsung Dryer_IoTLS,True,True,False,13,4,False,1.0,2,Amazon Echo Gen2_IoTLS|Samsung Dryer_IoTLS|dim1_verified,dim1_verified,True,1
D3_C0056,2,2,google|nvidia,Google Home Mini_YT|nVidia Shield_YT,True,True,False,1,3,False,1.0,2,nVidia Shield_YT|Google Home Mini_YT|dim1_verified,dim1_verified,True,1
D3_C0068,2,2,roku|samsung,Roku TV_YT|Samsung Smart TV_YT,True,True,False,3,3,False,1.0,2,Roku TV_YT|Samsung Smart TV_YT|dim1_verified,dim1_verified,True,1
D3_C0007,4,4,amazon|google|lg|withings,Amazon Echo Gen1_Our|Google Home_Mon(uk)|LG Smart TV_Our2|Withings Smart Baby Monitor_UNSW,False,False,False,1,0,True,0.75,3,LG Smart TV_Our2|Amazon Echo Gen1_Our|dim1_verified;LG Smart TV_Our2|Google Home_Mon(uk)|dim1_verified;Amazon Echo Gen1_Our|Google Home_Mon(uk)|dim1_verified,dim1_verified,True,2b
D3_C0021,3,3,nest|roku|samsung,Nest Tstat_IoTLS|Roku TV_IoTLS|Samsung Dryer_IoTLS,True,False,False,1,0,False,1.0,3,Nest Tstat_IoTLS|Samsung Dryer_IoTLS|dim1_verified;Nest Tstat_IoTLS|Roku TV_IoTLS|dim1_verified;Samsung Dryer_IoTLS|Roku TV_IoTLS|dim1_verified,dim1_verified,True,1
D3_C0030,3,3,lg|nest|roku,LG Smart TV_IoTLS|Nest Tstat_IoTLS|Roku TV_IoTLS,True,False,False,1,0,False,1.0,3,Nest Tstat_IoTLS|LG Smart TV_IoTLS|dim1_verified;Nest Tstat_IoTLS|Roku TV_IoTLS|dim1_verified;LG Smart TV_IoTLS|Roku TV_IoTLS|dim1_verified,dim1_verified,True,1
