Group_ID,Num_Vendors,Num_Devices,Vendors,Devices
D3_C0051,6,9,aqara|luohe|sonoff|xiaobai|xiaomao|xiaomi,Aqara Camera_selfdata|Aqara Plug_selfdata|Luohe Spycamera_Mon(us)|Sonoff Camera_selfdata|Xiaobai Y2camera_selfdata|Xiaomao Camera_selfdata|Xiaomi Camera3_selfdata|Xiaomi Camera_selfdata|xiaomitv_speaker
D3_C0079,5,7,aqara|qianniao|xiaobai|xiaomao|xiaomi,Aqara Camera_selfdata|Aqara Plug_selfdata|Xiaobai Y2camera_selfdata|Xiaomao Camera_selfdata|Xiaomi Camera_selfdata|qianniao_camera|xiaomitv_speaker
D3_C0015,3,5,huawei|xiaojingyu|xiaomi,Xiaojingyu Clock_selfdata|Xiaomi Sound_selfdata|Xiaomi Speaker_selfdata|huawei_tv|xiaomitv_speaker
D3_C0023,4,4,bose|roku|samsung|sonos,Bose Sound Touch10_YT|Roku4_YT|Samsung Smart TV_YT|Sonos_YT
D3_C0029,3,4,canary|nest|samsung,Canary_YT|Nest CamIQ_YT|Nest Guard_YT|Samsung Smart TV_YT
D3_C0033,2,4,amazon|samsung,Amazon Echo Gen2_IoTLS|Amazon Echo Gen3_IoTLS|Amazon Fire TV_IoTLS|Samsung Dryer_IoTLS
D3_C0035,3,4,apple|roku|samsung,Apple Home Pod_YT|Apple TV(4thGen)_YT|Roku TV_YT|Samsung Smart TV_YT
D3_C0041,3,4,google|roku|samsung,Google Home Mini_YT|Google Home_YT|Roku TV_YT|Samsung Smart TV_YT
D3_C0049,3,4,canary|google|nvidia,Canary_YT|Google Home Mini_YT|Google Home_YT|nVidia Shield_YT
D3_C0066,3,4,aqara|xiaobai|xiaomi,Aqara Camera_selfdata|Xiaobai Y2camera_selfdata|Xiaomi Camera_selfdata|xiaomitv_speaker
D3_C0019,2,3,google|nvidia,Google Home Mini_YT|Google Home_YT|nVidia Shield_YT
D3_C0025,3,3,canary|roku|samsung,Canary_YT|Roku TV_YT|Samsung Smart TV_YT
D3_C0043,3,3,huawei|lecheng|xiaomi,Lecheng Camera_selfdata|Xiaomi Sound_selfdata|huawei_tv
D3_C0070,2,3,amazon|samsung,Amazon Echo Gen2_IoTLS|Amazon Echo Gen3_IoTLS|Samsung Dryer_IoTLS
D3_C0031,2,2,amazon|samsung,Amazon Fire TV_YT|Samsung Smart TV_YT
D3_C0044,2,2,google|samsung,Google Home_YT|Samsung Smart TV_YT
D3_C0046,2,2,lg|roku,LG Smart TV_Mon(us)|Roku TV_Mon(uk)
