Group_ID,Num_Vendors,Num_Devices,Num_Domains,Vendors,Devices,Domains,Domain_Types
C0001,3,18,1,amazon|samsung|unknown,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our2|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Cloud Camera_Mon(us)|Samsung Dryer_IoTLS,arcus-uswest.amazon.com,IoT Platform
C0002,3,18,1,amazon|samsung|unknown,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our2|Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Cloud Camera_Mon(us)|Samsung Dryer_IoTLS,device-metrics-us.amazon.com,IoT Platform
C0003,3,17,2,amazon|samsung|unknown,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our2|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Cloud Camera_Mon(us)|Samsung Dryer_IoTLS,arcus-uswest.amazon.com|dp-gw-na.amazon.com,IoT Platform
C0004,3,17,1,amazon|samsung|unknown,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echodot3a_IoTLS|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Cloud Camera_Mon(us)|Samsung Dryer_IoTLS,dcape-na.amazon.com,IoT Platform
C0005,4,17,1,amazon|harman kardon|samsung|unknown,Allure Speaker_Mon(uk)|Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echodot3a_IoTLS|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Cloud Camera_Mon(us)|Samsung Smart TV_YT,api.amazon.com,Generic Service
C0006,3,14,1,amazon|harman kardon|samsung,Allure Speaker_Mon(uk)|Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our2|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Fire TV_IoTLS|Amazon Fire TV_Mon(us)|Samsung Dryer_IoTLS,api.amazonalexa.com,IoT Platform
C0007,2,13,4,amazon|samsung,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Samsung Dryer_IoTLS,arcus-uswest.amazon.com|device-metrics-us.amazon.com|dp-gw-na.amazon.com|spectrum.s3.amazonaws.com,IoT Platform
C0008,2,12,1,amazon|samsung,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echodot3a_IoTLS|Amazon T-echodot_IoTLS|Samsung Dryer_IoTLS,prod.amcs-tachyon.com,IoT Platform
C0009,4,9,1,amazon|google|nest|nvidia,Amazon Fire TV_YT|Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Nest Guard_YT|nVidia Shield_YT,clients3.google.com,Generic Service
C0010,5,8,1,amazon|lg|nvidia|roku|samsung,Amazon Fire TV_Mon(us)|LG Smart TV_Mon(us)|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT|nVidia Shield_YT,api-global.netflix.com,Content Service
C0011,3,8,1,google|nvidia|samsung,Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|nVidia Shield_YT,www.google.com,Generic Service
C0012,3,8,1,google|nvidia|samsung,Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Samsung Smart TV_YT|nVidia Shield_YT,www.gstatic.com,Generic Service
C0013,2,7,5,google|nvidia,Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|nVidia Shield_YT,clients3.google.com|clients4.google.com|connectivitycheck.gstatic.com|mtalk.google.com|www.gstatic.com,Generic Service
C0014,2,7,4,amazon|unknown,Amazon Echo Gen1_Our2|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Cloud Camera_Mon(us),api.amazon.com|arcus-uswest.amazon.com|device-messaging-na.amazon.com|device-metrics-us.amazon.com,Generic Service|IoT Platform
C0015,4,7,3,amazon|lg|roku|samsung,Amazon Fire TV_Mon(us)|LG Smart TV_Mon(us)|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,api-global.netflix.com|secure.netflix.com|uiboot.netflix.com,Content Service
C0016,2,7,2,amazon|samsung,Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Samsung Dryer_IoTLS,device-metrics-us.amazon.com|softwareupdates.amazon.com,IoT Platform
C0017,3,7,1,amazon|lg|samsung,Amazon Echo Gen3_IoTLS|Amazon Echo Gen3_Mon(uk)|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|LG Smart TV_Mon(us)|Samsung Smart TV_YT,m.media-amazon.com,Generic Service
C0018,4,6,5,amazon|lg|roku|samsung,Amazon Fire TV_Mon(us)|LG Smart TV_Mon(us)|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Samsung Smart TV_YT,api-global.netflix.com|customerevents.netflix.com|ichnaea.netflix.com|secure.netflix.com|uiboot.netflix.com,Content Service
C0019,2,6,3,amazon|unknown,Amazon Echo Gen1_YT|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Cloud Camera_Mon(us),dcape-na.amazon.com|device-metrics-us.amazon.com|todo-ta-g7g.amazon.com,IoT Platform
C0020,2,6,1,apple|govee,Apple Home Pod_YT|Apple TV(4thGen)_YT|Apple TV_Mon(uk)|Apple TV_Mon(us)|Apple home Pod_IoTLS|Govee Sensor_selfdata,mesu.apple.com,Generic Service
C0021,3,6,1,august|d-link|samsung,August Doorbell Camera_YT|D-Link Sensor_IoT-Sentinel|D-Link Siren_IoT-Sentinel|D-Link Switch_IoT-Sentinel|D-Link Water Sensor_IoT-Sentinel|Samsung Smart TV_YT,s3-us-west-2.amazonaws.com,Generic Service
C0022,2,5,6,google|nvidia,Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home_Mon(uk)|nVidia Shield_YT,clients3.google.com|clients4.google.com|connectivitycheck.gstatic.com|mtalk.google.com|play.googleapis.com|www.gstatic.com,Generic Service
C0023,2,5,5,roku|samsung,Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,api-global.netflix.com|pubads.g.doubleclick.net|secure.netflix.com|securepubads.g.doubleclick.net|uiboot.netflix.com,Content Service|Generic Service
C0024,3,5,4,lg|roku|samsung,LG Smart TV_Mon(us)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,api-global.netflix.com|appboot.netflix.com|secure.netflix.com|uiboot.netflix.com,Content Service
C0025,2,5,3,amazon|samsung,Amazon Echo Gen1_Our2|Amazon Echo Gen2_IoTLS|Amazon Echo Gen2_Mon(us)|Amazon T-echodot_IoTLS|Samsung Dryer_IoTLS,arcus-uswest.amazon.com|avs-alexa-4-na.amazon.com|device-metrics-us.amazon.com,IoT Platform
C0026,2,5,2,google|samsung,Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_YT|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT,play.google.com|www.google.com,Generic Service
C0027,3,5,1,amazon|roku|samsung,Amazon Echo Gen1_Our|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,cdn-0.nflximg.com,Content Service
C0028,5,5,1,lenovo|pisen|tenda|xiaobai|xiaopai,Lenovo Camera_selfdata|Pisen Camera_selfdata|Tenda Camera_selfdata|Xiaobai Camera_selfdata|Xiaopai Camera_selfdata,link-vision-picture-sh.oss-cn-shanghai.aliyuncs.com,IoT Platform
C0029,3,5,1,xiaobai|xiaomao|xiaomi,Xiaobai Doorbell_selfdata|Xiaobai Y2camera_selfdata|Xiaomao Camera_selfdata|Xiaomi Camera_selfdata|xiaobaismart_camera,business.smartcamera.api.io.mi.com,IoT Platform
C0030,3,5,1,amazon|bose|roku,Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Bose Sound Touch10_YT|Roku TV_YT|Roku4_YT,s3.amazonaws.com,Generic Service
C0031,2,4,8,roku|samsung,Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,api-global.netflix.com|appboot.netflix.com|cdn-0.nflximg.com|pubads.g.doubleclick.net|secure.netflix.com|securepubads.g.doubleclick.net|tpc.googlesyndication.com|uiboot.netflix.com,Content Service|Generic Service
C0032,2,4,7,google|nvidia,Google Home Mini_Mon(uk)|Google Home Mini_YT|Google Home_YT|nVidia Shield_YT,android.clients.google.com|clients3.google.com|clients4.google.com|connectivitycheck.gstatic.com|mtalk.google.com|www.google.com|www.gstatic.com,Generic Service
C0033,2,4,2,apple|govee,Apple Home Pod_YT|Apple TV(4thGen)_YT|Apple home Pod_IoTLS|Govee Sensor_selfdata,configuration.apple.com|mesu.apple.com,Generic Service
C0034,2,4,2,apple|govee,Apple Home Pod_YT|Apple TV(4thGen)_YT|Apple TV_Mon(uk)|Govee Sensor_selfdata,gsa.apple.com|mesu.apple.com,Generic Service
C0035,2,4,2,apple|govee,Apple TV(4thGen)_YT|Apple TV_Mon(uk)|Apple TV_Mon(us)|Govee Sensor_selfdata,bag.itunes.apple.com|mesu.apple.com,Generic Service
C0036,4,4,2,pisen|tenda|xiaobai|xiaopai,Pisen Camera_selfdata|Tenda Camera_selfdata|Xiaobai Camera_selfdata|Xiaopai Camera_selfdata,iotx-vision-business.cn-shanghai.log.aliyuncs.com|link-vision-picture-sh.oss-cn-shanghai.aliyuncs.com,IoT Platform
C0037,2,4,2,amazon|samsung,Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Fire TV_YT|Samsung Smart TV_YT,api.amazon.com|det-ta-g7g.amazon.com,Generic Service|IoT Platform
C0038,4,4,1,bull|ecovacs|xiaobai|xiaopai,Bull Plug_selfdata|Xiaobai Camera_selfdata|Xiaopai Camera_selfdata|deebot_cleaner,public.iot-as-mqtt.cn-shanghai.aliyuncs.com,IoT Platform
C0039,3,4,1,dalen|huawei|xiaotun,Dalen Light_selfdata|Huawei Sound_selfdata|Huaweizhengtai Plug_selfdata|Xiaotun Camera_selfdata,data.hicloud.com,IoT Platform
C0040,3,4,1,smartmi|xiaobai|xiaomi,Smartmi Humidifier_selfdata|Xiaomi Camera_Mon(uk)|Xiaomi Strip_Mon(us)|xiaobaismart_camera,ot.io.mi.com,IoT Platform
